"name","rank","spell_type","save_type","rarity","action_category","actions_min","actions_max","description","source_id"
"Cornucopia","1","Focus","None","Uncommon","Activity","2","2","Vines twine into a wicker horn in your hands, and out spills a single fruit, nut, or similar small bit of produce.",
"Counter Performance","1","Focus","None","Uncommon","Reaction","0","0","Your performance protects you and your allies.",
"Creative Splash","1","Focus","Will","Uncommon","Activity","2","2","A deluge of paint or colorful illusions descend on the area, reflecting your personal creative specialty.",
"Crushing Ground","1","Focus","Reflex","Uncommon","Activity","2","2","You tear open the ground then slam it shut.",
"Cry of Destruction","1","Focus","None","Uncommon","Activity","2","2","Your voice booms, smashing what's in front of you.",
"Dazzling Flash","1","Focus","Fortitude","Uncommon","Activity","2","2","You raise your religious symbol and create a blinding flash of light.",
"Death's Call","1","Focus","None","Uncommon","Reaction","0","0","Seeing another pass from this world invigorates you.",
"Debilitating Terror","1","Focus","Will","Uncommon","Free","0","0","You fill the targetâ€™s mind with terrifying images to disrupt their combat focus.",
"Delay Consequence","1","Focus","None","Common","Reaction","0","0","You transpose the moment that the target would be injured to later in its timestream.",
"Diabolic Edict","1","Focus","None","Uncommon","Free","0","0","You issue a diabolic edict, demanding the target perform a particular task and offering rewards for its fulfillment.",
"Dim the Light","1","Focus","None","Uncommon","Reaction","0","0","You magnify the darkness from the triggering effect, causing the ambient light level to flicker briefly so you can slip from sight.",
"Dimensional Assault","1","Focus","None","Uncommon","Free","0","0","You tumble through space, making a short dimensional hop to better position yourself for an attack.",
"Distracting Decoy","1","Focus","Will","Uncommon","Free","0","0","You conjure a colorful, fast-moving shape, such as a small bird or other animal that draws your targetâ€™s eye.",
"Divine Plagues","1","Focus","Fortitude","Common","Activity","2","2","Your deity sends wracking plagues.",
"Diviner's Sight","1","Focus","None","Uncommon","Free","0","0","You glimpse into the targetâ€™s future.",
"Draconic Barrage","1","Focus","None","Common","Activity","2","2","You shape energy into one incorporeal tiny dragon that flits around you.",
"Dragon Claws","1","Focus","None","Uncommon","Free","0","0","Vicious claws grow from your fingers.",
"Earthworks","1","Focus","None","Uncommon","Activity","3","3","With a ripple of earth, you raise small barriers from the ground.",
"Efficient Apport","1","Focus","None","Uncommon","Free","0","0","Walking over to an item to pick it up is so much effort.",
"Eject Soul","1","Focus","None","Common","Activity","2","2","Your touch disrupts the connection between body and soul, possibly forcing the soul out of the body altogether.",
"Elemental Betrayal","1","Focus","None","Uncommon","Free","0","0","Your patron uses its superior command of the elements, empowering them to undermine your foe.",
"Elemental Toss","1","Focus","None","Uncommon","Free","0","0","With a flick of your wrist, you fling a chunk of your elemental matter at your foe.",
"Empty Inside","1","Focus","None","Common","Free","0","0","You inject a sliver of the void into your mind, momentarily remaking it into a bleak and empty place.",
"Evolution Surge","1","Focus","None","Uncommon","Activity","2","2","You flood your eidolon with power, creating a temporary evolution in your eidolon's capabilities.",
"Extend Boost","1","Focus","None","Uncommon","Activity","1","1","You focus on the intricacies of the magic binding you to your eidolon to extend the duration of your _boost eidolon_ or _reinforce eidolon_ spell.",
"Face in the Crowd","1","Focus","None","Uncommon","Free","0","0","While in a crowd of roughly similar creatures, your appearance becomes bland and nondescript.",
"Faerie Dust","1","Focus","Will","Uncommon","Activity","3","3","You sprinkle magical dust in the spell's area, making those within easier to trick.",
"Fire Ray","1","Focus","None","Uncommon","Activity","2","2","A blazing band of fire arcs through the air, lighting your opponent and the ground they stand upon on fire.",
"Flurry of Claws","1","Focus","None","Uncommon","Activity","2","2","Vicious dragon claws appear and slash at two nearby foes.",
"Force Bolt","1","Focus","None","Uncommon","Free","0","0","You fire an arrow-shaped bolt of force, one of the most common and reliable forms of battle magic.",
"Force Fang","1","Focus","None","Uncommon","Free","0","0","You briefly turn your attack into pure force to bypass your opponent's defenses.",
"Fortify Summoning","1","Focus","None","Uncommon","Free","0","0","As you call a creature to your side, your magic transforms its body, heightening its ferocity and fortifying its resilience.",
"Frenzied Revelry","1","Focus","None","Rare","Activity","2","2","You recall memories of hedonistic rites to send yourself into an infectious frenzy, dancing and howling wildly to encourage your companions to join in.",
"Genie's Veil","1","Focus","None","Uncommon","Reaction","0","0","With a flourish, you fulfill a creature's wish for protection, bending reality to keep them from harm.",
"Glutton's Jaws","1","Focus","None","Uncommon","Activity","2","2","A slavering maw opens beneath a target and tries to take a bite out of them.",
"Gravity Weapon","1","Focus","None","Uncommon","Free","0","0","You build up gravitational force and funnel it into your blows, leading to more powerful attacks with blade and bow alike.",
"Guided Introspection","1","Focus","None","Uncommon","Activity","2","2","You guide the target in examining their innermost feelings, their behaviors, and the motivations behind their actions, granting them clarity and insight.",
"Hallowed Ground","1","Focus","None","Uncommon","Activity","2","2","One small space becomes inhospitable to undead as you fill it with life-infused benevolent magic.",
"Hand of the Apprentice","1","Focus","None","Uncommon","Free","0","0","You take advantage of one of the most fundamental lessons of magic to levitate and propel your weapon.",
"Heal Animal","1","Focus","None","Uncommon","Activity","2","2","You heal an animal's wounds, restoring 1d8 Hit Points to the target.",
"Heal Companion","1","Focus","None","Uncommon","Activity","2","2","You heal your animal companion's wounds.",
"Healer's Blessing","1","Focus","None","Uncommon","Free","0","0","Your words bless a creature with an enhanced connection to vital energy.",
"Hollow Heart","1","Focus","Will","Rare","Activity","2","2","You stoke the target's ambition beyond reason, until it believes no one is capable of helping it, or that others aren't to be trusted.",
"Home Among Mulberry Leaves","1","Focus","None","Uncommon","Free","0","0","Qi-formed threads unravel from your fabric on conjured needles as your attack makes contact with an enemy and wraps it in place like an insect in its cocoon.",
"Hurtling Stone","1","Focus","None","Uncommon","Free","0","0","You evoke a magical stone and throw it, with divine guide to your aim.",
"Hymn of Healing","1","Focus","None","Uncommon","Activity","2","2","Your glorious singing mends wounds and provides a temporary respite from harm.",
"Hyperfocus","1","Focus","Will","Common","Activity","2","2","You sharpen a creatureâ€™s senses, though more distant objects become hazy, indistinct, or muted to it.",
"Ignite Ambition","1","Focus","Will","Uncommon","Reaction","0","0","You strengthen the target's ambition, increase its resentment of its allies, and make its allegiances more susceptible to change.",
"Incendiary Aura","1","Focus","None","Uncommon","Activity","2","2","You surround yourself with a combustible aura.",
"Inner Upheaval","1","Focus","None","Uncommon","Free","0","0","You focus your qi into devastating magical attacks.",
"Jealous Hex","1","Focus","Will","Uncommon","Free","0","0","You draw forth a hag's innate jealousy to deny a target its greatest attribute.",
"Keen Smell","1","Focus","None","Uncommon","Activity","2","2","Your nose becomes more sensitive to the scents of the wild, the better for you to track your quarry.",
"Lament","1","Focus","None","Common","Activity","2","2","You let out your negative emotions in a guttural wail that shakes your enemiesâ€™ hearts.",
"Lay on Hands","1","Focus","None","Uncommon","Free","0","0","Your hands become infused with powerful vitality, capable of healing a living creature or damaging an undead creature with a touch.",
"Life Boost","1","Focus","None","Uncommon","Free","0","0","Life force from your patron floods into the target, ensuring they can continue doing your patron's will for just a little longer.",
"Life Link","1","Focus","None","Uncommon","Free","0","0","You forge a connection of life energy between you and your target, distributing harm between both of you.",
"Lift Nature's Caul","1","Focus","Will","Uncommon","Activity","2","2","With a wave of the hand, you cause the targets to see the world around them as if a gauzy film had been lifted away to expose the truth that lies below their perceived reality.",
"Lingering Composition","1","Focus","None","Uncommon","Activity","1","1","You add a flourish to your composition to extend its benefits.",
"Loremaster's Etude","1","Focus","None","Uncommon","Activity","1","1","You call upon your muse's deep mysteries, granting the target a greater ability to think and recall information.",
"Magic Hide","1","Focus","None","Uncommon","Free","0","0","Your animal companion grows a thicker hide, matted fur, or a harder shell, granting it a +1 status bonus to AC.",
"Magic's Vessel","1","Focus","None","Uncommon","Free","0","0","A creature becomes a divine receptacle for pure magical energy.",
"Moonbeam","1","Focus","None","Uncommon","Activity","2","2","You shine a ray of moonlight.",
"Needle of Vengeance","1","Focus","None","Uncommon","Free","0","0","A long, jagged needle jabs into the target foe's psyche whenever it tries to attack a creature your patron holds in special regard.",
"Nymph's Token","1","Focus","None","Uncommon","Activity","2","2","You grant an ally a token of favor.",
"Oathkeeper's Insignia","1","Focus","None","Common","Activity","1","1","A magical indicator assures a creature that youâ€™ve upheld your end of a bargain.",
"Object Memory","1","Focus","None","Common","Activity","2","2","By touching an object, you draw forth the experience of those who created and used it.",
"Overstuff","1","Focus","Fortitude","Uncommon","Activity","2","2","Huge amounts of food and drink fill the target.",
"Parch","1","Focus","Fortitude","Common","Activity","2","2","Dry winds dehydrate a creature.",
"Patron's Puppet","1","Focus","None","Uncommon","Activity","1","1","At your unspoken plea, your patron temporarily assumes control over your familiar.",
"Perfected Mind","1","Focus","None","Uncommon","Free","0","0","You meditate upon perfection to remove all distractions from your mind.",
"Phase Familiar","1","Focus","None","Uncommon","Reaction","0","0","Your patron momentarily recalls your familiar to the ether, shifting it from its solid, physical form into a ghostly version of itself.",
"Physical Boost","1","Focus","None","Uncommon","Free","0","0","You temporarily improve the targetâ€™s physique.",
"Practice Makes Perfect","1","Focus","None","Uncommon","Reaction","0","0","The target gains a +2 status bonus to the triggering check, or a +3 bonus if the target has master or better proficiency in the skill.",
"Protective Wards","1","Focus","None","Uncommon","Free","0","0","You expand a ring of glyphs that shields your allies.",
"Protector's Sacrifice","1","Focus","None","Uncommon","Reaction","0","0","You protect your ally by suffering in their stead.",
"Pushing Gust","1","Focus","Fortitude","Uncommon","Activity","2","2","Giving the air a push, you buffet the target with a powerful gust of wind; it must attempt a Fortitude save.",
"Qi Rush","1","Focus","None","Uncommon","Free","0","0","Accelerated by your qi, you move with such speed you become a blur.",
"Read Fate","1","Focus","None","Uncommon","Activity","2","2","You attempt to learn more about the target's fate in the short term, usually within the next day for most prosaic creatures, or the next hour or less for someone likely to have multiple rapid experiences, such as someone actively adventuring.",
"Redact","1","Focus","None","Common","Activity","2","2","You strike mention of a specific name from one or more documents.",
"Rejuvenating Flames","1","Focus","None","Uncommon","Activity","2","2","You create a gout of flame that both heals and burns.",
"Rising Surf","1","Focus","None","Uncommon","Free","0","0","You create a wave of water that you ride, banking around obstacles and surfing to higher ground.",
"Savor the Sting","1","Focus","Will","Uncommon","Free","0","0","You inflict pain upon the target and revel in their anguish.",
"Scholarly Recollection","1","Focus","None","Uncommon","Reaction","0","0","Speaking a short prayer as you gather your thoughts, you're blessed to find yourself pointed in the right direction.",
"Scramble Body","1","Focus","Fortitude","Uncommon","Activity","2","2","Your magic throws the creature's biology into disarray, inducing nausea, fever, and other unpleasant conditions.",
"Sepulchral Mask","1","Focus","Will","Uncommon","Activity","2","2","You manifest a supernatural funerary mask, granting you a +1 status bonus to Will saving throws against emotion effects for 1 minute.",
"Serrate","1","Focus","None","Uncommon","Free","0","0","With a pinch, the metal of a weapon twists, adding numerous jagged blades along its surface.",
"Share Burden","1","Focus","None","Common","Reaction","0","0","You shoulder some of your allyâ€™s pain.",
"Shielding Strike","1","Focus","None","Uncommon","Free","0","0","As you attack a foe, warding magic transforms your momentum into action and lifts your shield.",
"Shields of the Spirit","1","Focus","None","Uncommon","Free","0","0","You Raise your Shield, causing ephemeral spirit shields to float within your champion's aura.",
"Shooting Star","1","Focus","None","Uncommon","Free","0","0","You let loose a projectile that flies true and leaves the blazing trail of a meteor behind it.",
"Sky Laughs At Waves","1","Focus","None","Uncommon","Free","0","0","You soar and leave the worldâ€™s squabbles behind before your violent intentions ground you once more.",
"Slime Spit","1","Focus","Reflex","Uncommon","Activity","2","2","You spit toxic goo that coats your targetâ€™s face and eyes, dealing 2d6 poison damage.",
"Snare Hopping","1","Focus","None","Uncommon","Activity","2","2","You may not have placed your snare in the right place, but you can magically move it there.",
"Soothing Words","1","Focus","None","Uncommon","Free","0","0","You attempt to calm the target by uttering soothing words in a calm and even tone.",
"Soul Siphon","1","Focus","Fortitude","Uncommon","Free","0","0","You siphon off a portion of the target's soul to bolster your own vitality.",
"Spinning Staff","1","Focus","None","Uncommon","Free","0","0","You spin your staff with a twirling flourish, attacking two foes and transforming the momentum into magical energy to charge for your next Spellstrike.",
"Split the Tongue","1","Focus","Fortitude","Uncommon","Reaction","0","0","The deceiving creature's tongue splits like a serpent's tongue.",
"Spray of Stars","1","Focus","Reflex","Uncommon","Activity","2","2","You fling a spray of tiny shooting stars, dealing 2d4 fire damage.",
"String of Fate","1","Focus","None","Rare","Free","0","0","You bond yourself to a cherished friend, vowing to share their fate for good or for ill.",
"Stumbling Curse","1","Focus","Reflex","Uncommon","Free","0","0","With a twist of a finger, you send a creature careening on a haphazard trajectory.",
"Sudden Shift","1","Focus","None","Uncommon","Reaction","0","0","You swiftly move from a dangerous spot and veil yourself.",
"Swarmsense","1","Focus","None","Common","Activity","1","1","You extend your senses through a multitude of crawling and flying creatures.",
"Sweet Dream","1","Focus","None","Uncommon","Activity","2","2","With soothing words, you lull the target into an enchanting dream.",
"Tempest Surge","1","Focus","None","Uncommon","Activity","2","2","You surround a foe in a swirling storm of violent winds, roiling clouds, and crackling lightning.",
"Tempest Touch","1","Focus","Fortitude","Uncommon","Free","0","0","Your touch calls forth a churning mass of icy water that clings to your target, dealing 1d4 bludgeoning damage and 1d4 cold damage.",
"Temporal Distortion","1","Focus","Will","Uncommon","Free","0","0","You share some of your own temporal distortions with a foe, altering their mind and body unpredictably as they're thrown backward or forward in time.",
"Tentacular Limbs","1","Focus","None","Uncommon","Free","0","0","Your arms turn into long, pliable tentacles, increasing your reach when you're delivering touch range spells and making unarmed Strikes with your arms (such as fist and claw Strikes) to 10 feet.",
"Thunderous Strike","1","Focus","None","Uncommon","Free","0","0","You swing your massive weapon, creating a wave of sonic vibrations that topples creatures.",
"Tidal Surge","1","Focus","None","Uncommon","Free","0","0","You call forth a tremendous wave to move the target either in a body of water or on the ground.",
"Touch of Obedience","1","Focus","Will","Uncommon","Free","0","0","Your imperious touch erodes the target's willpower, making it easier to control.",
"Touch of the Void","1","Focus","None","Uncommon","Free","0","0","You infuse the target with void energy, healing undead or damaging a living creature.",
"Touch of Undeath","1","Focus","Fortitude","Uncommon","Free","0","0","You attack the target's life force with undeath, dealing 1d6 void damage.",
"Undeath's Blessing","1","Focus","Will","Uncommon","Free","0","0","You instill within a creature the touch of the grave.",
"Unfetter Eidolon","1","Focus","None","Uncommon","Activity","2","2","You loosen the link between yourself and your eidolon, allowing it to travel farther from you for a short period of time.",
"Unimpeded Stride","1","Focus","None","Uncommon","Free","0","0","Divine grace ensure that nothing can keep you prisoner or hold you back.",
