"spell_name","trait_name"
"Glimpse Weakness","Uncommon"
"Gouging Claw","Attack"
"Gouging Claw","Cantrip"
"Gouging Claw","Concentrate"
"Gouging Claw","Manipulate"
"Gouging Claw","Morph"
"Guidance","Cantrip"
"Guidance","Concentrate"
"Haunting Hymn","Auditory"
"Haunting Hymn","Cantrip"
"Haunting Hymn","Concentrate"
"Haunting Hymn","Manipulate"
"Haunting Hymn","Sonic"
"Healing Plaster","Cantrip"
"Healing Plaster","Earth"
"Healing Plaster","Transmutation"
"Ignition","Attack"
"Ignition","Cantrip"
"Ignition","Concentrate"
"Ignition","Fire"
"Ignition","Manipulate"
"Illuminate","Cantrip"
"Illuminate","Fire"
"Illuminate","Manipulate"
"Imaginary Weapon","Attack"
"Imaginary Weapon","Cantrip"
"Imaginary Weapon","Evocation"
"Imaginary Weapon","Force"
"Imaginary Weapon","Psychic"
"Imaginary Weapon","Uncommon"
"Infectious Enthusiasm","Cantrip"
"Infectious Enthusiasm","Emotion"
"Infectious Enthusiasm","Enchantment"
"Infectious Enthusiasm","Mental"
"Inside Ropes","Cantrip"
"Inside Ropes","Conjuration"
"Inside Ropes","Uncommon"
"Invoke True Name","Cantrip"
"Invoke True Name","Enchantment"
"Invoke True Name","Rare"
"Invoke True Name","True Name"
"Join Pasts","Cantrip"
"Join Pasts","Divination"
"Join Pasts","Mental"
"Join Pasts","Uncommon"
"Know the Way","Cantrip"
"Know the Way","Concentrate"
"Know the Way","Detection"
"Know the Way","Manipulate"
"Light","Cantrip"
"Light","Concentrate"
"Light","Light"
"Light","Manipulate"
"Live Wire","Attack"
"Live Wire","Cantrip"
"Live Wire","Concentrate"
"Live Wire","Electricity"
"Live Wire","Manipulate"
"Live Wire","Metal"
"Message","Auditory"
"Message","Cantrip"
"Message","Concentrate"
"Message","Illusion"
"Message","Linguistic"
"Message","Mental"
"Message","Subtle"
"Murmuration","Cantrip"
"Murmuration","Concentrate"
"Murmuration","Hex"
"Murmuration","Sonic"
"Murmuration","Uncommon"
"Murmuration","Witch"
"Musical Accompaniment","Auditory"
"Musical Accompaniment","Cantrip"
"Musical Accompaniment","Illusion"
"Needle Darts","Attack"
"Needle Darts","Cantrip"
"Needle Darts","Concentrate"
"Needle Darts","Manipulate"
"Needle Darts","Metal"
"Nudge Fate","Cantrip"
"Nudge Fate","Concentrate"
"Nudge Fate","Hex"
"Nudge Fate","Uncommon"
"Nudge Fate","Witch"
"Pact Broker","Cantrip"
"Pact Broker","Enchantment"
"Pact Broker","Hex"
"Pact Broker","Mental"
"Pact Broker","Rare"
"Pact Broker","Witch"
"Phase Bolt","Attack"
"Phase Bolt","Cantrip"
"Phase Bolt","Evocation"
"Prestidigitation","Cantrip"
"Prestidigitation","Concentrate"
"Prestidigitation","Manipulate"
"Protect Companion","Abjuration"
"Protect Companion","Cantrip"
"Puff of Poison","Cantrip"
"Puff of Poison","Concentrate"
"Puff of Poison","Manipulate"
"Puff of Poison","Poison"
"Read Aura","Cantrip"
"Read Aura","Concentrate"
"Read Aura","Detection"
"Read Aura","Manipulate"
"Read the Air","Cantrip"
"Read the Air","Divination"
"Reinforce Eidolon","Abjuration"
"Reinforce Eidolon","Cantrip"
"Reinforce Eidolon","Summoner"
"Reinforce Eidolon","Uncommon"
"Root Reading","Cantrip"
"Root Reading","Concentrate"
"Root Reading","Manipulate"
"Root Reading","Wood"
"Rousing Splash","Cantrip"
"Rousing Splash","Concentrate"
"Rousing Splash","Manipulate"
"Rousing Splash","Water"
"Scatter Scree","Cantrip"
"Scatter Scree","Concentrate"
"Scatter Scree","Earth"
"Scatter Scree","Manipulate"
"Scrounger's Glee","Auditory"
"Scrounger's Glee","Cantrip"
"Scrounger's Glee","Concentrate"
"Scrounger's Glee","Fear"
"Scrounger's Glee","Hex"
"Scrounger's Glee","Mental"
"Scrounger's Glee","Uncommon"
"Scrounger's Glee","Witch"
"Shield","Cantrip"
"Shield","Concentrate"
"Shield","Force"
"Shroud of Night","Cantrip"
"Shroud of Night","Darkness"
"Shroud of Night","Hex"
"Shroud of Night","Manipulate"
"Shroud of Night","Uncommon"
"Shroud of Night","Witch"
"Sigil","Cantrip"
"Sigil","Concentrate"
"Sigil","Manipulate"
"Silver's Refrain","Abjuration"
"Silver's Refrain","Bard"
"Silver's Refrain","Cantrip"
"Silver's Refrain","Composition"
"Silver's Refrain","Rare"
"Slashing Gust","Air"
"Slashing Gust","Attack"
"Slashing Gust","Cantrip"
"Slashing Gust","Concentrate"
"Slashing Gust","Manipulate"
"Song of Strength","Bard"
"Song of Strength","Cantrip"
"Song of Strength","Composition"
"Song of Strength","Concentrate"
"Song of Strength","Emotion"
"Song of Strength","Mental"
"Song of Strength","Uncommon"
"Spirit Object","Cantrip"
"Spirit Object","Hex"
"Spirit Object","Necromancy"
"Spirit Object","Rare"
"Spirit Object","Witch"
"Spout","Cantrip"
"Spout","Concentrate"
"Spout","Manipulate"
"Spout","Water"
"Stabilize","Cantrip"
"Stabilize","Concentrate"
"Stabilize","Healing"
"Stabilize","Manipulate"
"Stabilize","Vitality"
"Sting of the Sea","Cantrip"
"Sting of the Sea","Concentrate"
"Sting of the Sea","Hex"
"Sting of the Sea","Uncommon"
"Sting of the Sea","Witch"
"Stoke the Heart","Cantrip"
"Stoke the Heart","Concentrate"
"Stoke the Heart","Emotion"
"Stoke the Heart","Hex"
"Stoke the Heart","Uncommon"
"Stoke the Heart","Witch"
"Summon Instrument","Cantrip"
"Summon Instrument","Concentrate"
"Summon Instrument","Manipulate"
"Take Root","Cantrip"
"Take Root","Manipulate"
"Take Root","Plant"
"Take Root","Wood"
"Tame","Auditory"
"Tame","Cantrip"
"Tame","Enchantment"
"Tame","Mental"
"Tangle Vine","Attack"
"Tangle Vine","Cantrip"
"Tangle Vine","Concentrate"
"Tangle Vine","Manipulate"
"Tangle Vine","Plant"
"Tangle Vine","Wood"
"Telekinetic Hand","Cantrip"
"Telekinetic Hand","Concentrate"
"Telekinetic Hand","Manipulate"
"Telekinetic Projectile","Attack"
"Telekinetic Projectile","Cantrip"
"Telekinetic Projectile","Concentrate"
"Telekinetic Projectile","Manipulate"
"Telekinetic Rend","Cantrip"
"Telekinetic Rend","Evocation"
"Telekinetic Rend","Psychic"
"Telekinetic Rend","Uncommon"
"Thermal Stasis","Abjuration"
"Thermal Stasis","Cantrip"
"Thermal Stasis","Psychic"
"Thermal Stasis","Uncommon"
"Timber","Cantrip"
"Timber","Concentrate"
"Timber","Manipulate"
"Timber","Wood"
"Time Sense","Cantrip"
"Time Sense","Divination"
"Torturous Trauma","Cantrip"
"Torturous Trauma","Necromancy"
"Torturous Trauma","Nonlethal"
"Torturous Trauma","Uncommon"
"Tremor Signs","Cantrip"
"Tremor Signs","Earth"
"Tremor Signs","Manipulate"
"Tremor Signs","Subtle"
"Uplifting Overture","Bard"
"Uplifting Overture","Cantrip"
"Uplifting Overture","Composition"
"Uplifting Overture","Concentrate"
"Uplifting Overture","Emotion"
"Uplifting Overture","Mental"
"Uplifting Overture","Uncommon"
"Vitality Lash","Cantrip"
"Vitality Lash","Concentrate"
"Vitality Lash","Manipulate"
"Vitality Lash","Vitality"
"Void Warp","Cantrip"
"Void Warp","Concentrate"
"Void Warp","Manipulate"
"Void Warp","Void"
"Warp Step","Cantrip"
"Warp Step","Conjuration"
"Wash Your Luck","Abjuration"
"Wash Your Luck","Cantrip"
"Wash Your Luck","Fortune"
"Wilding Word","Cantrip"
"Wilding Word","Hex"
"Wilding Word","Mental"
"Wilding Word","Uncommon"
"Wilding Word","Witch"
"Rallying Anthem","Bard"
"Rallying Anthem","Cantrip"
"Rallying Anthem","Composition"
"Rallying Anthem","Concentrate"
"Rallying Anthem","Emotion"
"Rallying Anthem","Mental"
"Rallying Anthem","Uncommon"
"Triple Time","Bard"
"Triple Time","Cantrip"
"Triple Time","Composition"
"Triple Time","Emotion"
"Triple Time","Manipulate"
"Triple Time","Mental"
"Triple Time","Uncommon"
"Astral Rain","Cantrip"
"Astral Rain","Evocation"
"Astral Rain","Force"
"Astral Rain","Psychic"
"Astral Rain","Uncommon"
"Dirge of Doom","Bard"
"Dirge of Doom","Cantrip"
"Dirge of Doom","Composition"
"Dirge of Doom","Concentrate"
"Dirge of Doom","Emotion"
"Dirge of Doom","Fear"
"Dirge of Doom","Mental"
"Dirge of Doom","Uncommon"
"Entropic Wheel","Cantrip"
"Entropic Wheel","Cold"
"Entropic Wheel","Evocation"
"Entropic Wheel","Fire"
"Entropic Wheel","Psychic"
"Entropic Wheel","Uncommon"
"Fate's Travels","Cantrip"
"Fate's Travels","Necromancy"
"Fate's Travels","Rare"
"Ghostly Shift","Cantrip"
"Ghostly Shift","Conjuration"
"Ghostly Shift","Psychic"
"Ghostly Shift","Uncommon"
"Omnidirectional Scan","Cantrip"
"Omnidirectional Scan","Divination"
"Omnidirectional Scan","Psychic"
"Omnidirectional Scan","Scrying"
"Omnidirectional Scan","Uncommon"
"Shatter Mind","Cantrip"
"Shatter Mind","Evocation"
"Shatter Mind","Mental"
"Shatter Mind","Psychic"
"Shatter Mind","Uncommon"
"Song of Marching","Bard"
"Song of Marching","Cantrip"
"Song of Marching","Composition"
"Song of Marching","Concentrate"
"Song of Marching","Mental"
"Song of Marching","Uncommon"
"Vector Screen","Abjuration"
"Vector Screen","Cantrip"
"Vector Screen","Psychic"
"Vector Screen","Uncommon"
"Contagious Idea","Cantrip"
"Contagious Idea","Emotion"
"Contagious Idea","Enchantment"
"Contagious Idea","Mental"
"Contagious Idea","Psychic"
"Contagious Idea","Uncommon"
"Dancing Blade","Cantrip"
"Dancing Blade","Evocation"
"Dancing Blade","Psychic"
"Dancing Blade","Uncommon"
"Foresee the Path","Cantrip"
"Foresee the Path","Divination"
"Foresee the Path","Psychic"
"Foresee the Path","Uncommon"
"Hologram Cage","Cantrip"
"Hologram Cage","Illusion"
"Hologram Cage","Light"
"Hologram Cage","Psychic"
"Hologram Cage","Uncommon"
"House of Imaginary Walls","Bard"
"House of Imaginary Walls","Cantrip"
"House of Imaginary Walls","Composition"
"House of Imaginary Walls","Illusion"
"House of Imaginary Walls","Manipulate"
"House of Imaginary Walls","Uncommon"
"House of Imaginary Walls","Visual"
"Redistribute Potential","Cantrip"
"Redistribute Potential","Cold"
"Redistribute Potential","Evocation"
"Redistribute Potential","Fire"
"Redistribute Potential","Psychic"
"Redistribute Potential","Uncommon"
"Tesseract Tunnel","Cantrip"
"Tesseract Tunnel","Conjuration"
"Tesseract Tunnel","Psychic"
"Tesseract Tunnel","Teleportation"
"Tesseract Tunnel","Uncommon"
"Allegro","Bard"
"Allegro","Cantrip"
"Allegro","Composition"
"Allegro","Concentrate"
"Allegro","Emotion"
"Allegro","Mental"
"Allegro","Uncommon"
"Adapt Self","Focus"
"Adapt Self","Morph"
"Adapt Self","Transmutation"
"Agile Feet","Cleric"
"Agile Feet","Focus"
"Agile Feet","Manipulate"
"Agile Feet","Uncommon"
"Ancestral Memories","Concentrate"
"Ancestral Memories","Focus"
"Ancestral Memories","Sorcerer"
"Ancestral Memories","Uncommon"
"Ancestral Touch","Emotion"
"Ancestral Touch","Fear"
"Ancestral Touch","Focus"
"Ancestral Touch","Manipulate"
"Ancestral Touch","Mental"
"Ancestral Touch","Oracle"
"Ancestral Touch","Uncommon"
"Angelic Halo","Aura"
"Angelic Halo","Concentrate"
"Angelic Halo","Focus"
"Angelic Halo","Holy"
"Angelic Halo","Sorcerer"
"Angelic Halo","Uncommon"
"Appearance of Wealth","Cleric"
"Appearance of Wealth","Concentrate"
"Appearance of Wealth","Focus"
"Appearance of Wealth","Illusion"
"Appearance of Wealth","Manipulate"
"Appearance of Wealth","Uncommon"
"Arms of Nature","Concentrate"
"Arms of Nature","Druid"
"Arms of Nature","Focus"
"Arms of Nature","Manipulate"
"Arms of Nature","Uncommon"
"Arms of Nature","Wood"
"Ashen Wind","Conjuration"
"Ashen Wind","Cursebound"
"Ashen Wind","Focus"
"Ashen Wind","Oracle"
"Ashen Wind","Uncommon"
"Athletic Rush","Cleric"
"Athletic Rush","Focus"
"Athletic Rush","Manipulate"
"Athletic Rush","Uncommon"
"Bit of Luck","Cleric"
"Bit of Luck","Concentrate"
"Bit of Luck","Focus"
"Bit of Luck","Fortune"
"Bit of Luck","Manipulate"
"Bit of Luck","Uncommon"
"Blood Ward","Focus"
"Blood Ward","Hex"
"Blood Ward","Manipulate"
"Blood Ward","Uncommon"
"Blood Ward","Witch"
"Brain Drain","Concentrate"
"Brain Drain","Focus"
"Brain Drain","Manipulate"
"Brain Drain","Mental"
"Brain Drain","Oracle"
"Brain Drain","Uncommon"
"Cackle","Concentrate"
"Cackle","Focus"
"Cackle","Hex"
"Cackle","Uncommon"
"Cackle","Witch"
"Call to Arms","Auditory"
"Call to Arms","Cursebound"
"Call to Arms","Emotion"
"Call to Arms","Enchantment"
"Call to Arms","Focus"
"Call to Arms","Mental"
"Call to Arms","Oracle"
"Call to Arms","Uncommon"
"Charged Javelin","Attack"
"Charged Javelin","Electricity"
"Charged Javelin","Evocation"
"Charged Javelin","Focus"
"Charming Push","Concentrate"
"Charming Push","Focus"
"Charming Push","Incapacitation"
"Charming Push","Mental"
"Charming Push","Uncommon"
"Charming Push","Wizard"
"Charming Touch","Cleric"
"Charming Touch","Emotion"
"Charming Touch","Focus"
"Charming Touch","Incapacitation"
"Charming Touch","Manipulate"
"Charming Touch","Mental"
"Charming Touch","Uncommon"
"Cinder Gaze","Cleric"
"Cinder Gaze","Divination"
"Cinder Gaze","Focus"
"Cinder Gaze","Prediction"
"Cinder Gaze","Rare"
"Cloak of Shadow","Aura"
"Cloak of Shadow","Cleric"
"Cloak of Shadow","Darkness"
"Cloak of Shadow","Focus"
"Cloak of Shadow","Manipulate"
"Cloak of Shadow","Shadow"
"Cloak of Shadow","Uncommon"
"Cornucopia","Concentrate"
"Cornucopia","Druid"
"Cornucopia","Focus"
"Cornucopia","Healing"
"Cornucopia","Manipulate"
"Cornucopia","Plant"
"Cornucopia","Uncommon"
"Cornucopia","Vitality"
"Counter Performance","Bard"
"Counter Performance","Composition"
"Counter Performance","Concentrate"
"Counter Performance","Focus"
"Counter Performance","Fortune"
"Counter Performance","Mental"
"Counter Performance","Uncommon"
"Creative Splash","Cleric"
"Creative Splash","Concentrate"
"Creative Splash","Focus"
"Creative Splash","Illusion"
"Creative Splash","Manipulate"
"Creative Splash","Uncommon"
"Creative Splash","Visual"
"Crushing Ground","Concentrate"
"Crushing Ground","Druid"
"Crushing Ground","Earth"
"Crushing Ground","Focus"
"Crushing Ground","Manipulate"
"Crushing Ground","Uncommon"
"Cry of Destruction","Cleric"
"Cry of Destruction","Concentrate"
"Cry of Destruction","Focus"
"Cry of Destruction","Manipulate"
"Cry of Destruction","Sonic"
"Cry of Destruction","Uncommon"
"Dazzling Flash","Cleric"
"Dazzling Flash","Concentrate"
"Dazzling Flash","Focus"
"Dazzling Flash","Light"
"Dazzling Flash","Manipulate"
"Dazzling Flash","Uncommon"
"Dazzling Flash","Visual"
"Death's Call","Cleric"
"Death's Call","Concentrate"
"Death's Call","Focus"
"Death's Call","Uncommon"
"Debilitating Terror","Concentrate"
"Debilitating Terror","Fear"
"Debilitating Terror","Focus"
"Debilitating Terror","Incapacitation"
"Debilitating Terror","Mental"
"Debilitating Terror","Uncommon"
"Debilitating Terror","Wizard"
"Delay Consequence","Abjuration"
"Delay Consequence","Focus"
"Diabolic Edict","Concentrate"
"Diabolic Edict","Focus"
"Diabolic Edict","Sorcerer"
"Diabolic Edict","Uncommon"
"Dim the Light","Darkness"
"Dim the Light","Evocation"
"Dim the Light","Focus"
"Dim the Light","Sorcerer"
"Dim the Light","Uncommon"
"Dimensional Assault","Conjuration"
"Dimensional Assault","Focus"
"Dimensional Assault","Magus"
"Dimensional Assault","Teleportation"
"Dimensional Assault","Uncommon"
"Distracting Decoy","Concentrate"
"Distracting Decoy","Focus"
"Distracting Decoy","Ranger"
"Distracting Decoy","Uncommon"
"Distracting Decoy","Visual"
"Divine Plagues","Disease"
"Divine Plagues","Focus"
"Divine Plagues","Necromancy"
"Diviner's Sight","Concentrate"
"Diviner's Sight","Divination"
"Diviner's Sight","Focus"
"Diviner's Sight","Fortune"
"Diviner's Sight","Uncommon"
"Diviner's Sight","Wizard"
"Draconic Barrage","Evocation"
"Draconic Barrage","Focus"
"Dragon Claws","Focus"
"Dragon Claws","Morph"
"Dragon Claws","Sorcerer"
"Dragon Claws","Transmutation"
"Dragon Claws","Uncommon"
"Earthworks","Concentrate"
"Earthworks","Earth"
"Earthworks","Focus"
"Earthworks","Manipulate"
"Earthworks","Uncommon"
"Earthworks","Wizard"
"Efficient Apport","Conjuration"
"Efficient Apport","Focus"
"Efficient Apport","Teleportation"
"Efficient Apport","Uncommon"
"Efficient Apport","Wizard"
"Eject Soul","Focus"
"Eject Soul","Incapacitation"
"Eject Soul","Necromancy"
"Elemental Betrayal","Concentrate"
"Elemental Betrayal","Focus"
"Elemental Betrayal","Hex"
"Elemental Betrayal","Uncommon"
"Elemental Betrayal","Witch"
"Elemental Toss","Attack"
"Elemental Toss","Focus"
"Elemental Toss","Manipulate"
"Elemental Toss","Sorcerer"
"Elemental Toss","Uncommon"
"Empty Inside","Abjuration"
"Empty Inside","Focus"
"Empty Inside","Mental"
"Evolution Surge","Focus"
"Evolution Surge","Morph"
"Evolution Surge","Summoner"
"Evolution Surge","Transmutation"
"Evolution Surge","Uncommon"
"Extend Boost","Divination"
"Extend Boost","Focus"
"Extend Boost","Metamagic"
"Extend Boost","Summoner"
"Extend Boost","Uncommon"
"Face in the Crowd","Cleric"
"Face in the Crowd","Focus"
"Face in the Crowd","Manipulate"
"Face in the Crowd","Uncommon"
"Face in the Crowd","Visual"
"Faerie Dust","Concentrate"
"Faerie Dust","Focus"
"Faerie Dust","Manipulate"
"Faerie Dust","Mental"
"Faerie Dust","Sorcerer"
"Faerie Dust","Uncommon"
"Fire Ray","Attack"
"Fire Ray","Cleric"
"Fire Ray","Concentrate"
"Fire Ray","Fire"
"Fire Ray","Focus"
"Fire Ray","Manipulate"
"Fire Ray","Uncommon"
"Flurry of Claws","Attack"
"Flurry of Claws","Concentrate"
"Flurry of Claws","Focus"
"Flurry of Claws","Manipulate"
"Flurry of Claws","Sorcerer"
"Flurry of Claws","Uncommon"
"Force Bolt","Focus"
"Force Bolt","Force"
"Force Bolt","Manipulate"
"Force Bolt","Uncommon"
"Force Bolt","Wizard"
"Force Fang","Evocation"
"Force Fang","Focus"
"Force Fang","Force"
"Force Fang","Magus"
"Force Fang","Uncommon"
"Fortify Summoning","Concentrate"
"Fortify Summoning","Focus"
"Fortify Summoning","Uncommon"
"Fortify Summoning","Wizard"
"Frenzied Revelry","Cleric"
"Frenzied Revelry","Emotion"
"Frenzied Revelry","Enchantment"
"Frenzied Revelry","Focus"
"Frenzied Revelry","Mental"
"Frenzied Revelry","Rare"
"Genie's Veil","Abjuration"
"Genie's Veil","Focus"
"Genie's Veil","Sorcerer"
"Genie's Veil","Uncommon"
"Glutton's Jaws","Attack"
"Glutton's Jaws","Concentrate"
"Glutton's Jaws","Focus"
"Glutton's Jaws","Manipulate"
"Glutton's Jaws","Sorcerer"
"Glutton's Jaws","Uncommon"
"Gravity Weapon","Focus"
"Gravity Weapon","Ranger"
"Gravity Weapon","Uncommon"
"Guided Introspection","Abjuration"
"Guided Introspection","Focus"
"Guided Introspection","Uncommon"
"Hallowed Ground","Focus"
"Hallowed Ground","Good"
"Hallowed Ground","Necromancy"
"Hallowed Ground","Positive"
"Hallowed Ground","Uncommon"
"Hand of the Apprentice","Attack"
"Hand of the Apprentice","Focus"
"Hand of the Apprentice","Manipulate"
"Hand of the Apprentice","Uncommon"
"Hand of the Apprentice","Wizard"
"Heal Animal","Druid"
"Heal Animal","Focus"
"Heal Animal","Healing"
"Heal Animal","Manipulate"
"Heal Animal","Uncommon"
"Heal Animal","Vitality"
"Heal Companion","Focus"
"Heal Companion","Healing"
"Heal Companion","Ranger"
"Heal Companion","Uncommon"
"Heal Companion","Vitality"
"Healer's Blessing","Cleric"
"Healer's Blessing","Concentrate"
"Healer's Blessing","Focus"
"Healer's Blessing","Uncommon"
"Hollow Heart","Cleric"
"Hollow Heart","Emotion"
"Hollow Heart","Enchantment"
"Hollow Heart","Fear"
"Hollow Heart","Focus"
"Hollow Heart","Mental"
"Hollow Heart","Rare"
"Home Among Mulberry Leaves","Focus"
"Home Among Mulberry Leaves","Magus"
"Home Among Mulberry Leaves","Manipulate"
"Home Among Mulberry Leaves","Uncommon"
"Hurtling Stone","Attack"
"Hurtling Stone","Cleric"
"Hurtling Stone","Earth"
"Hurtling Stone","Focus"
"Hurtling Stone","Manipulate"
"Hurtling Stone","Uncommon"
"Hymn of Healing","Bard"
"Hymn of Healing","Composition"
"Hymn of Healing","Concentrate"
"Hymn of Healing","Focus"
"Hymn of Healing","Healing"
"Hymn of Healing","Uncommon"
"Hymn of Healing","Vitality"
"Hyperfocus","Divination"
"Hyperfocus","Focus"
"Ignite Ambition","Cleric"
"Ignite Ambition","Concentrate"
"Ignite Ambition","Emotion"
"Ignite Ambition","Focus"
"Ignite Ambition","Mental"
"Ignite Ambition","Subtle"
"Ignite Ambition","Uncommon"
"Incendiary Aura","Concentrate"
"Incendiary Aura","Fire"
"Incendiary Aura","Focus"
"Incendiary Aura","Manipulate"
"Incendiary Aura","Oracle"
"Incendiary Aura","Uncommon"
"Inner Upheaval","Concentrate"
"Inner Upheaval","Focus"
"Inner Upheaval","Monk"
"Inner Upheaval","Uncommon"
"Jealous Hex","Concentrate"
"Jealous Hex","Curse"
"Jealous Hex","Focus"
"Jealous Hex","Sorcerer"
"Jealous Hex","Uncommon"
"Keen Smell","Concentrate"
"Keen Smell","Focus"
"Keen Smell","Manipulate"
"Keen Smell","Morph"
"Keen Smell","Ranger"
"Keen Smell","Uncommon"
"Lament","Auditory"
"Lament","Emotion"
"Lament","Enchantment"
"Lament","Focus"
"Lament","Mental"
"Lay on Hands","Champion"
"Lay on Hands","Focus"
"Lay on Hands","Healing"
"Lay on Hands","Manipulate"
"Lay on Hands","Uncommon"
"Lay on Hands","Vitality"
"Life Boost","Focus"
"Life Boost","Healing"
"Life Boost","Hex"
"Life Boost","Manipulate"
"Life Boost","Uncommon"
"Life Boost","Vitality"
"Life Boost","Witch"
"Life Link","Focus"
"Life Link","Healing"
"Life Link","Manipulate"
"Life Link","Oracle"
"Life Link","Uncommon"
"Life Link","Vitality"
"Lift Nature's Caul","Fear"
"Lift Nature's Caul","Focus"
"Lift Nature's Caul","Illusion"
"Lift Nature's Caul","Uncommon"
"Lift Nature's Caul","Visual"
"Lingering Composition","Bard"
"Lingering Composition","Concentrate"
"Lingering Composition","Focus"
"Lingering Composition","Spellshape"
"Lingering Composition","Uncommon"
"Loremaster's Etude","Bard"
"Loremaster's Etude","Focus"
"Loremaster's Etude","Fortune"
"Loremaster's Etude","Manipulate"
"Loremaster's Etude","Uncommon"
"Magic Hide","Focus"
"Magic Hide","Manipulate"
"Magic Hide","Ranger"
"Magic Hide","Uncommon"
"Magic's Vessel","Cleric"
"Magic's Vessel","Focus"
"Magic's Vessel","Manipulate"
"Magic's Vessel","Uncommon"
"Moonbeam","Attack"
"Moonbeam","Cleric"
"Moonbeam","Concentrate"
"Moonbeam","Fire"
"Moonbeam","Focus"
"Moonbeam","Light"
"Moonbeam","Manipulate"
"Moonbeam","Uncommon"
"Needle of Vengeance","Focus"
"Needle of Vengeance","Hex"
"Needle of Vengeance","Manipulate"
"Needle of Vengeance","Mental"
"Needle of Vengeance","Uncommon"
"Needle of Vengeance","Witch"
"Nymph's Token","Enchantment"
"Nymph's Token","Focus"
"Nymph's Token","Sorcerer"
"Nymph's Token","Uncommon"
"Oathkeeper's Insignia","Conjuration"
"Oathkeeper's Insignia","Focus"
"Object Memory","Divination"
"Object Memory","Focus"
"Overstuff","Cleric"
"Overstuff","Concentrate"
"Overstuff","Focus"
"Overstuff","Manipulate"
"Overstuff","Uncommon"
"Parch","Air"
"Parch","Evocation"
"Parch","Focus"
"Patron's Puppet","Focus"
"Patron's Puppet","Hex"
"Patron's Puppet","Uncommon"
